stock,p_e_ratio,p_b_ratio,p_s_ratio,ev_ebitda,ev_gp,current_price
DLF.NS,44.11798,4.5247235,24.085289,87.882,38620798976,
DOMS.NS,74.7512,15.091199,7.9145193,44.535,8320250880,
DABUR.NS,48.368576,7.8651314,6.7757635,36.236,60282298368,
DALBHARAT.NS,56.43975,2.2189417,2.7601452,17.203,87490002944,
DATAPATTNS.NS,71.171585,10.484045,22.325632,53.709,4322500096,
DEEPAKFERT.NS,18.473085,2.7649856,1.6847864,10.122,36855099392,510
DEEPAKNTR.NS,37.300747,5.481243,3.3900785,26.269,19375599616,
DELHIVERY.NS,170.21126,2.8751674,3.0284383,307.742,75559968768,
DEVYANI.NS,1253.857,19.699247,4.287797,30.138,27018080256,
DIVISLAB.NS,81.82922,11.9511385,19.107529,56.752,56349999104,
DIXON.NS,74.39831,25.887709,2.3390348,52.039,30272800768,
LALPATHLAB.NS,49.022594,10.987951,9.699991,32.756,14974999552,
DRREDDY.NS,18.30776,3.101219,3.1714947,11.107,1.90428E+11,
EIDPARRY.NS,21.61375,2.360049,0.5781169,7.872,67322400768,560
EIHOTEL.NS,31.342081,5.6504545,8.4713,21.788,18435049472,
EASEMYTRIP.NS,53.000004,5.7668395,6.687353,20.567,4351690240,
EICHERMOT.NS,31.507607,6.986305,7.377866,24.494,98781700096,
ELECON.NS,36.33567,7.556593,6.7895074,27.07,10396099584,
ELGIEQUIP.NS,46.79688,8.799927,4.473175,31.248,17108629504,
EMAMILTD.NS,31.935572,9.542182,6.759167,25.112,26149599232,
EMCURE.NS,38.470394,5.9821997,3.3503923,16.483,48166551552,
ENDURANCE.NS,40.243576,5.8930025,2.9149027,21.121,49576931328,
ENGINERSIN.NS,27.037838,4.7280116,3.9012492,34.055,5491814912,
EQUITASBNK.NS,49.58915,1.1988605,1.7520714,,41631019008,
ERIS.NS,59.582527,7.344232,7.3053827,22.735,21652699136,
ESCORTS.NS,34.292286,3.7156453,3.7649634,30.084,29887399936,
EXIDEIND.NS,41.324787,2.3613875,1.9073143,18.905,56404299776,
NYKAA.NS,1112.5554,38.526356,7.578013,217.196,32783800320,
FEDERALBNK.NS,12.017858,1.4363257,3.677291,,1.34798E+11,
FACT.NS,,46.707706,14.755574,1826.177,10960711680,
FINEORG.NS,34.57932,6.186433,6.258475,25.674,9405917184,
FINCABLES.NS,21.480097,2.876361,2.9144568,22.89,9972500480,
FINPIPE.NS,17.246141,2.268216,3.1490533,15.083,17125399552,
FSL.NS,46.072277,6.5444236,3.358494,24.045,29845340160,
FIVESTAR.NS,19.39265,3.2994792,9.970093,,20908937216,
FORTIS.NS,68.89105,5.9963083,6.869825,35.584,31547000832,
GRINFRA.NS,12.265788,1.4647611,1.6820012,9.881,24478965760,1515
GAIL.NS,10.197993,1.4940208,0.895286,9.388,2.61653E+11,205
GVT&D.NS,134.56198,38.562824,13.098741,67.959,15292399616,
GMRAIRPORT.NS,,-35.703674,8.771251,33.185,58790301696,
GRSE.NS,59.070827,15.026943,6.157167,66.796,9085436928,
GICRE.NS,10.072362,0.8374641,1.6473612,5.369,95704588288,289.5
GILLETTE.NS,64.60914,28.207901,10.952174,39.002,16358700032,
GLAND.NS,35.69159,2.7509403,4.4811015,17.696,33269690368,
GLAXO.NS,54.14228,25.697447,13.3797,41.325,23583500288,
GLENMARK.NS,,2.3227603,2.809928,13.048,95353143296,
MEDANTA.NS,67.317345,9.586594,8.77998,36.95,19881039872,
GODIGIT.NS,70.539955,6.549028,3.1091504,68.055,16078499840,
GPIL.NS,15.146416,2.507246,2.4145198,10.218,24054099968,575
GODFRYPHLP.NS,37.189972,8.178757,6.6699142,35.938,23583100928,
GODREJAGRO.NS,33.46446,6.0474358,1.5388539,19.503,24099201024,
GODREJCP.NS,70.81036,10.937035,9.148077,43.615,78281801728,
GODREJIND.NS,40.085793,3.8724842,1.7941908,17.625,92256403456,
GODREJPROP.NS,45.76171,3.909828,13.746792,1567.472,19982899200,
GRANULES.NS,26.355804,3.6790197,2.827894,14.189,25935640576,
GRAPHITE.NS,22.721119,1.7806921,4.1039925,29.39,8600000512,
GRASIM.NS,45.8237,1.8340287,1.2137423,14.175,8.59409E+11,
GESHIP.NS,5.6855206,0.9330325,2.4993763,2.75,34721398784,110.7
GRINDWELL.NS,52.605045,8.602235,6.902501,36.702,15355480064,
GAEL.NS,21.091911,1.7416251,1.1414572,11.813,12399899648,152.8
FLUOROCHEM.NS,96.78322,7.1981983,9.492171,46.372,22629951488,
GUJGASLTD.NS,27.664867,3.9872637,1.9269311,16.817,32709699584,
GMDCLTD.NS,16.760891,1.792351,4.0374637,16.915,22948499456,
GNFC.NS,15.580269,0.95989656,1.0103346,8.227,16669500416,638.5
GPPL.NS,20.402758,3.0866823,7.2051477,10.835,6804919808,
GSFC.NS,13.700809,0.66702324,0.85025185,9.687,24131500032,172.9
GSPL.NS,13.77943,1.6181371,1.0222361,6.869,46322167808,275.5
HEG.NS,82.12121,2.112228,4.1201725,25.085,10518299648,
HBLENGINE.NS,49.44346,10.249571,7.7215376,37.641,10224293888,
HCLTECH.NS,26.105131,556.383,327.57452,1535.513,4834999808,
HDFCAMC.NS,42.160934,12.69646,25.445908,30.661,36666900480,
HDFCBANK.NS,20.99102,2.844084,5.4455876,,2.72847E+12,
HDFCLIFE.NS,92.52669,10.38546,1.7280524,126.915,82399297536,
HFCL.NS,33.713726,3.0645564,3.0074527,27.104,11784399872,
HAPPSTMNDS.NS,49.52769,5.811032,4.428223,,6954999808,
HAVELLS.NS,66.84009,11.805555,4.514486,46.56,70718898176,
HEROMOTOCO.NS,19.91594,4.5230155,2.1306863,13.417,1.40128E+11,
HSCL.NS,42.64969,6.331927,5.1096625,28.02,14343655424,
HINDALCO.NS,9.199583,1.1868598,0.6203479,5.752,7.9151E+11,670
HAL.NS,40.016,9.56536,10.800234,35.38,1.83206E+11,
HINDCOPPER.NS,58.90097,9.793566,12.378895,31.585,19480807424,
HINDPETRO.NS,13.091253,1.7239875,0.20420748,9.049,3.71099E+11,310
HINDUNILVR.NS,52.84989,11.39402,8.911699,36.694,3.2543E+11,
HINDZINC.NS,18.406122,14.299985,5.7693787,10.986,2.63E+11,
POWERINDIA.NS,179.68767,16.5233,11.406053,116.471,24192399360,
HOMEFIRST.NS,27.896486,4.187978,15.510586,,7816220160,
HONASA.NS,129.38115,8.680195,4.9809384,284.417,14540239872,
HONAUT.NS,62.71598,8.144417,7.8515544,50.96,16433000448,
HUDCO.NS,17.609756,2.6511037,11.890341,,40087699456,
